Date,Open,High,Low,Close,Volume
1959-09-28,371.93,371.93,371.93,371.93,0
1959-09-29,374.75,374.75,374.75,374.75,0
1959-09-30,375.31,375.31,375.31,375.31,0
1959-10-01,366.2,366.2,366.2,366.2,0
1959-10-02,362.03,362.03,362.03,362.03,0
1959-10-05,352.03,352.03,352.03,352.03,0
1959-10-06,347.45,347.45,347.45,347.45,0
1959-10-07,349.5,349.5,349.5,349.5,0
1959-10-08,355.93,355.93,355.93,355.93,0
1959-10-09,358.05,358.05,358.05,358.05,0
1959-10-12,348.64,348.64,348.64,348.64,0
1959-10-13,344.63,344.63,344.63,344.63,0
1959-10-14,344.81,344.81,344.81,344.81,0
1959-10-16,337.41,337.41,337.41,337.41,0
1959-10-19,328.49,328.49,328.49,328.49,0
1959-10-20,333.32,333.32,333.32,333.32,0
1959-10-21,351.92,351.92,351.92,351.92,0
1959-10-22,354.74,354.74,354.74,354.74,0
1959-10-23,357.05,357.05,357.05,357.05,0
1959-10-26,364.01,364.01,364.01,364.01,0
1959-10-27,362.93,362.93,362.93,362.93,0
1959-10-28,359.54,359.54,359.54,359.54,0
1959-10-29,361.02,361.02,361.02,361.02,0
1959-10-30,369.58,369.58,369.58,369.58,0
1959-11-02,364.9,364.9,364.9,364.9,0
1959-11-03,369.03,369.03,369.03,369.03,0
1959-11-04,372.63,372.63,372.63,372.63,0
1959-11-05,372.08,372.08,372.08,372.08,0
1959-11-06,372.22,372.22,372.22,372.22,0
1959-11-09,374.64,374.64,374.64,374.64,0
1959-11-10,377.69,377.69,377.69,377.69,0
1959-11-12,377.66,377.66,377.66,377.66,0
1959-11-13,377.88,377.88,377.88,377.88,0
1959-11-16,378.62,378.62,378.62,378.62,0
1959-11-17,377.66,377.66,377.66,377.66,0
1959-11-19,381.37,381.37,381.37,381.37,0
1959-11-20,379.48,379.48,379.48,379.48,0
1959-11-23,377.95,377.95,377.95,377.95,0
1959-11-24,374.05,374.05,374.05,374.05,0
1959-11-25,369.14,369.14,369.14,369.14,0
1959-11-26,370.63,370.63,370.63,370.63,0
1959-11-27,376.02,376.02,376.02,376.02,0
1959-11-30,379.51,379.51,379.51,379.51,0
1959-12-01,382.34,382.34,382.34,382.34,0
1959-12-02,383.98,383.98,383.98,383.98,0
1959-12-03,384.28,384.28,384.28,384.28,0
1959-12-04,383.49,383.49,383.49,383.49,0
1959-12-07,386.69,386.69,386.69,386.69,0
1959-12-08,389.37,389.37,389.37,389.37,0
1959-12-09,392.57,392.57,392.57,392.57,0
1959-12-10,393.91,393.91,393.91,393.91,0
1959-12-11,395.95,395.95,395.95,395.95,0
1959-12-14,400.05,400.05,400.05,400.05,0
1959-12-15,399.26,399.26,399.26,399.26,0
1959-12-16,397.03,397.03,397.03,397.03,0
1959-12-17,395.77,395.77,395.77,395.77,0
1959-12-18,394.39,394.39,394.39,394.39,0
1959-12-21,395.43,395.43,395.43,395.43,0
1959-12-22,396.51,396.51,396.51,396.51,0
1959-12-23,400.05,400.05,400.05,400.05,0
1959-12-28,411.46,411.46,411.46,411.46,0
1959-12-29,413.81,413.81,413.81,413.81,0
1959-12-30,412.21,412.21,412.21,412.21,0
1959-12-31,417.79,417.79,417.79,417.79,0
