Date,Open,High,Low,Close,Volume
2005-02-25,6.2768,6.40343,6.23939,6.39603,9100614.9714937
2005-02-28,6.34382,6.38084,6.14266,6.18728,16832500.96086
2005-03-01,6.17998,6.2543,6.15757,6.24699,7544772.6339546
2005-03-02,6.20228,6.20228,6.13517,6.14266,11725290.034791
2005-03-03,6.14266,6.15757,6.00143,6.03844,14424275.289349
2005-03-04,6.03844,6.03844,5.94912,5.97161,14396849.05883
2005-03-07,5.97161,6.17237,5.96401,6.16497,12932570.007473
2005-03-08,6.13517,6.13517,5.97161,5.99383,10349624.962004
2005-03-09,6.10565,6.15757,6.00143,6.00143,14129385.054591
2005-03-10,5.97161,5.98622,5.86699,5.94912,9245555.5583287
2005-03-11,5.97161,6.09055,5.9192,5.92681,10847251.47329
2005-03-14,5.8821,5.9045,5.78536,5.82268,8480314.0820212
2005-03-15,5.82268,5.82978,5.73315,5.76306,7851017.3484119
2005-03-16,5.81508,5.87489,5.79997,5.80777,5023902.8643518
2005-03-17,5.74796,5.85228,5.74796,5.82268,5642434.7771533
2005-03-18,5.81508,5.82268,5.72575,5.77037,6503958.8370849
2005-03-21,5.77037,5.81508,5.71854,5.73315,4464789.7229306
2005-03-22,5.71095,5.77786,5.61422,5.61422,10351687.754961
2005-03-23,5.59921,5.68084,5.59921,5.62133,7650785.6024294
2005-03-24,5.64403,5.72575,5.63653,5.68084,5602920.5393817
2005-03-28,5.73315,5.77037,5.69594,5.73315,4249075.8850173
2005-03-29,5.67363,5.73315,5.56941,5.59162,7031960.8865019
2005-03-30,5.58422,5.71854,5.58422,5.67363,8482674.7439019
2005-03-31,5.73315,5.80777,5.68854,5.74796,13482985.173681
2005-04-01,5.97882,5.97882,5.79997,5.80777,7597705.1575408
2005-04-04,5.76306,5.81508,5.70355,5.71854,6121189.1644691
2005-04-05,5.74796,5.76306,5.71854,5.73315,5120922.0150091
2005-04-06,5.74065,5.80777,5.70355,5.70355,5815829.9515069
2005-04-07,5.68084,5.80777,5.62902,5.74796,8096804.8028934
2005-04-08,5.85969,5.92681,5.81508,5.85228,8199429.7656476
2005-04-11,5.85969,5.87489,5.78536,5.82978,4167539.8394504
2005-04-12,5.82978,5.84488,5.73315,5.83748,3482509.1959458
2005-04-13,5.82978,5.84488,5.74796,5.77786,6504398.5483536
2005-04-14,5.69594,5.69594,5.56191,5.64403,9183037.5317155
2005-04-15,5.60661,5.62902,5.5472,5.55451,6521797.5382579
2005-04-18,5.48739,5.55451,5.45768,5.50209,11961937.776473
2005-04-19,5.53221,5.56191,5.5099,5.5472,5170019.7294887
2005-04-20,5.56941,5.59162,5.44278,5.47259,9799951.4286271
2005-04-21,5.5099,5.60661,5.50209,5.59162,12020769.92844
2005-04-22,5.56941,5.56941,5.48018,5.49489,9308366.3880678
2005-04-25,5.5172,5.59162,5.50209,5.53221,5672220.6563935
2005-04-26,5.63653,5.83748,5.62133,5.81508,21532906.015833
2005-04-27,5.79997,5.8821,5.75576,5.80777,10137600.038214
2005-04-28,5.82268,5.86699,5.72575,5.77037,6339407.5329271
2005-04-29,5.78536,5.85969,5.70355,5.83748,8373859.3759585
2005-05-02,5.897,5.94912,5.84488,5.9045,5317759.6763134
2005-05-03,5.93421,5.94912,5.83748,5.86699,5751547.0008611
2005-05-04,5.92681,6.05344,5.9119,6.03103,11217484.308948
2005-05-05,6.09805,6.20978,6.08314,6.15757,10812455.519801
2005-05-06,6.15757,6.23179,6.10565,6.12036,7127946.6143617
2005-05-09,6.12796,6.14266,6.08314,6.13517,5925234.9783407
2005-05-10,6.03844,6.03844,5.96401,5.97161,12303275.300183
2005-05-11,5.97161,6.00143,5.9045,5.93421,8302494.4396706
2005-05-12,6.02353,6.03103,5.897,5.9119,9456401.1643378
2005-05-13,5.98622,6.13517,5.97161,6.12036,13479152.390894
2005-05-16,6.06835,6.09055,6.00873,6.06835,5153360.3460964
2005-05-17,6.00143,6.06835,5.95652,6.06084,7926215.0674872
2005-05-18,6.12796,6.16497,6.09055,6.12796,9998265.2634765
2005-05-19,6.18728,6.29931,6.18728,6.29151,9377223.7543324
2005-05-20,6.30651,6.32122,6.20978,6.30651,8722566.6226393
2005-05-23,6.19478,6.2543,6.16497,6.21708,8639261.6004013
2005-05-24,6.2543,6.30651,6.20228,6.29151,4550454.3938896
2005-05-25,6.23939,6.23939,6.13517,6.20228,3479264.0457297
2005-05-26,6.24699,6.26939,6.20228,6.23179,9313379.5017956
2005-05-27,6.2543,6.26189,6.21708,6.24699,6216143.4958505
2005-05-31,6.18728,6.26189,6.18728,6.24699,8748074.9420255
2005-06-01,6.18728,6.33651,6.18728,6.30651,9112265.2937967
2005-06-02,6.33651,6.44045,6.31411,6.43325,11071370.483291
2005-06-03,6.13517,6.55218,6.13517,6.46285,10685064.883652
2005-06-06,6.48516,6.56698,6.44784,6.55968,9168586.8362631
2005-06-07,6.50746,6.55968,6.47035,6.50007,7416792.3389147
2005-06-08,6.54487,6.59709,6.49286,6.51506,6232214.233512
